PinOut_1,PinOut_2,Voltage_1,Voltage_2,P_x,P_y,S1,dS1_dV,dPx_dV,dPy_dV,Mode_Locked,S1_MLd
221,9,4.3333333,0.1764706,4,87,-0.9121,0.0919,4,-6,0,#N/A
221,10,4.3333333,0.1960784,7,86,-0.8495,-0.0626,-3,1,0,#N/A
221,11,4.3333333,0.2156863,7,82,-0.8427,-0.0068,0,4,0,#N/A
221,12,4.3333333,0.2352941,19,92,-0.6577,-0.185,-12,-10,0,#N/A
221,13,4.3333333,0.254902,0,95,-1,0.3423,19,-3,0,#N/A
221,14,4.3333333,0.2745098,4,92,-0.9167,-0.0833,-4,3,0,#N/A
221,15,4.3333333,0.2941176,4,92,-0.9167,0,0,0,0,#N/A
221,16,4.3333333,0.3137255,0,83,-1,0.0833,4,9,0,#N/A
221,17,4.3333333,0.3333333,0,84,-1,0,0,-1,0,#N/A
221,18,4.3333333,0.3529412,1,71,-0.9722,-0.0278,-1,13,0,#N/A
221,19,4.3333333,0.372549,38,24,0.2258,-1.198,-37,47,0,#N/A
221,20,4.3333333,0.3921569,48,23,0.3521,-0.1263,-10,1,0,#N/A
221,21,4.3333333,0.4117647,48,17,0.4769,-0.1248,0,6,1,0.4769
221,22,4.3333333,0.4313725,45,10,0.6364,-0.1595,3,7,1,0.6364
221,23,4.3333333,0.4509804,49,14,0.5556,0.0808,-4,-4,1,0.5556
221,24,4.3333333,0.4705882,54,18,0.5,0.0556,-5,-4,1,0.5
221,25,4.3333333,0.4901961,53,19,0.4722,0.0278,1,-1,1,0.4722
221,26,4.3333333,0.5098039,47,26,0.2877,0.1845,6,-7,0,#N/A
221,27,4.3333333,0.5294118,25,60,-0.4118,0.6995,22,-34,0,#N/A
221,28,4.3333333,0.5490196,29,60,-0.3483,-0.0635,-4,0,0,#N/A
221,29,4.3333333,0.5686275,31,63,-0.3404,-0.0079,-2,-3,0,#N/A
221,30,4.3333333,0.5882353,34,56,-0.2444,-0.096,-3,7,0,#N/A
221,31,4.3333333,0.6078431,40,64,-0.2308,-0.0136,-6,-8,0,#N/A
221,32,4.3333333,0.627451,45,54,-0.0909,-0.1399,-5,10,0,#N/A
221,33,4.3333333,0.6470588,48,52,-0.04,-0.0509,-3,2,0,#N/A
221,34,4.3333333,0.6666667,50,49,0.0101,-0.0501,-2,3,0,#N/A
221,35,4.3333333,0.6862745,62,50,0.1071,-0.097,-12,-1,0,#N/A
221,36,4.3333333,0.7058824,56,47,0.0874,0.0197,6,3,0,#N/A
221,37,4.3333333,0.7254902,61,43,0.1731,-0.0857,-5,4,0,#N/A
